Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,17.505,9.885,270.0,bottom
C2,100n,C_0402_1005Metric,18.495,9.885,90.0,bottom
C3,4.7uF,C_0402_1005Metric,17.595,27.89,0.0,top
C4,100nF,C_0402_1005Metric,12.925,25.275,-90.0,top
C5,100nF,C_0402_1005Metric,5.065,33.285,180.0,top
C6,100nF,C_0402_1005Metric,17.615,28.9,0.0,top
C7,100nF,C_0402_1005Metric,5.575,27.375,180.0,top
C8,4.7uF,C_0402_1005Metric,18.025,31.625,180.0,bottom
C9,100nF,C_0402_1005Metric,16.075,31.625,180.0,bottom
C10,1uF,C_0402_1005Metric,15.425,27.425,270.0,bottom
C11,100nF,C_0402_1005Metric,11.425,25.085,270.0,bottom
C12,100nF,C_0402_1005Metric,4.715,31.625,180.0,top
C13,10uF,C_0603_1608Metric,16.825,34.125,90.0,bottom
C14,100nF,C_0402_1005Metric,5.165,29.125,180.0,top
C15,100nF,C_0402_1005Metric,15.575,33.575,90.0,bottom
C16,100nF,C_0402_1005Metric,8.425,25.275,-90.0,top
C17,100nF,C_0402_1005Metric,9.375,35.475,90.0,top
C18,100nF,C_0402_1005Metric,17.265,48.185,180.0,bottom
C19,100nF,C_0402_1005Metric,16.525,27.425,270.0,bottom
C22,100nF,C_0402_1005Metric,5.275,38.595,-90.0,top
C23,100nF,C_0402_1005Metric,14.665,18.985,-90.0,top
C24,10uF,C_0603_1608Metric,13.365,18.685,-90.0,top
C25,100nF,C_0402_1005Metric,-7.765,24.345,0.0,top
C26,100nF,C_0402_1005Metric,-7.765,27.315,0.0,top
C27,100nF,C_0402_1005Metric,-7.765,30.295,0.0,top
C28,100nF,C_0402_1005Metric,-7.7444,33.2353,0.0,top
C29,100nF,C_0402_1005Metric,-24.615,22.745,-90.0,top
C30,100nF,C_0402_1005Metric,7.425,25.275,-90.0,top
C31,100nF,C_0402_1005Metric,16.075,30.575,180.0,bottom
C32,100nF,C_0402_1005Metric,11.915,35.985,90.0,top
D1,SS14,D_SMA,7.165,16.935,-90.0,top
D2,SS14,D_SMA,3.515,16.935,-90.0,top
H1,PCIE_Bracket_Hole,MountingHole_3.2mm_M3_DIN965_Pad,-37.65,9.35,0.0,top
H2,PCIE_Bracket_Hole,MountingHole_3.2mm_M3_DIN965_Pad,-37.685,45.585,0.0,top
J3,PPS,U.FL_Hirose_U.FL-R-SMT-1_Vertical,-24.955,47.285,180.0,top
J4,IE-CLK,U.FL_Hirose_U.FL-R-SMT-1_Vertical,-16.035,47.235,180.0,top
L1,220R,L_0603_1608Metric,14.225,24.725,90.0,top
L2,220R,L_0603_1608Metric,3.365,24.785,90.0,top
L3,220R,L_0603_1608Metric,12.675,22.825,90.0,bottom
L4,220R,L_0603_1608Metric,4.865,24.825,90.0,top
L5,3.3uH,L_CY43-3.3UH,17.475,32.15,90.0,top
L6,220R,L_0603_1608Metric,8.165,22.825,90.0,top
L7,220R,L_0603_1608Metric,10.175,37.275,0.0,bottom
L8,220R,L_0603_1608Metric,11.925,30.525,0.0,bottom
R3,6.04k,R_0603_1608Metric,6.69,35.91,0.0,top
R4,200,R_0603_1608Metric,14.225,24.725,90.0,bottom
R5,1k,R_0603_1608Metric,18.465,40.385,180.0,top
R6,330,R_0603_1608Metric,4.965,21.485,0.0,top
R11,330,R_0603_1608Metric,-10.135,41.385,180.0,top
R12,330,R_0603_1608Metric,-10.135,39.485,180.0,top
R15,0,R_0603_1608Metric,11.165,43.285,0.0,top
R20,0,R_0603_1608Metric,14.065,36.085,270.0,bottom
R22,75,R_0402_1005Metric,-23.0844,33.2453,180.0,top
R23,75,R_0402_1005Metric,-23.0794,30.2753,180.0,top
R24,75,R_0402_1005Metric,-23.0944,27.3053,180.0,top
R25,75,R_0402_1005Metric,-23.0994,24.3353,180.0,top
R26,10k,R_0603_1608Metric,17.065,36.085,180.0,top
TR1,MT24-S1T1,Transformer_Ethernet_HALO_TG111-MSC13,-15.315,29.795,90.0,top
U1,LAN7430,QFN-48-1EP_7x7mm_P0.5mm_EP5.3x5.3mm,10.675,30.375,270.0,top
U2,93AAxxA,SO-8_3.9x4.9mm_P1.27mm,16.965,44.985,0.0,top
U3,SRV05-4,SOT-23-6,-4.115,27.845,180.0,bottom
U4,SRV05-4,SOT-23-6,-4.165,32.945,180.0,bottom
X1,25 MHz ,OXETGLJANF-25MHZ_FPN,7.575,38.725,-90.0,top
